Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
"N34,N,M,23_1_0.jpg",NormalFinal,21.36321568627451,58.30706050660607,39.67943602467812,55.306084322140876,0.5233116491259526,0.3825013577018495,0.5086139782384811,0.3918517835440218,2.4803137254901957,4.379645992874975,3.2619646369814026,4.251883643299952,7.062677983613201,7.599343103231879,7.256651338688003,7.570240139271693,0.0016473021522334422,0.000980479019903763,0.001566824311982947,0.0010184203618657948,0.04058697022732101,0.03131260161506487,0.03958313165962171,0.03191269906895678,0.9980316176861231,0.9946209455566224,0.9963440858628727,0.9948977966735767
"N35,N,F,5_1_0.jpg",NormalFinal,25.635927170868346,95.06891637914106,74.57236342095854,98.8816067771887,0.5103596679853329,0.35971467540014757,0.4510828046903144,0.3642814365616596,2.7466834733893557,5.53057308760414,4.532440316523605,5.594681477741311,6.534623642385244,7.1590515715823635,6.936216662832667,7.1657329145270765,0.002574288821410917,0.0014913593334204985,0.002047673382056108,0.001508566556408361,0.05073744989069629,0.038618121826682596,0.0452512251995027,0.0388402697777495,0.9976513017382364,0.9912877213488301,0.9931685849113097,0.9909383277671586
"N35,N,M,9 MONTHS_1_0.jpg",NormalFinal,74.38206162464986,187.7530533815816,119.51521146280399,178.3887850991613,0.42668928778891824,0.2860530848306246,0.4036892147141349,0.2927767034096667,4.733859943977592,7.962012959690315,5.859531473533619,7.690364386097788,7.746505788408616,8.304089408695797,7.929459070072426,8.271712956289662,0.0009107477186953212,0.00047136566383903524,0.0008075875747668391,0.0004893402622672584,0.03017859702993698,0.021710957229911242,0.028418085346603474,0.02212103664540291,0.9931314518726638,0.9826461402212192,0.9889637899159325,0.9835116364887433
"N36,N,M,.23_1_0.jpg",NormalFinal,24.460296918767508,92.17328957334007,73.59808096387698,92.60434794804904,0.5064996430242655,0.3568509124347031,0.48535193679225097,0.36400344024753833,2.660207282913165,5.314976577183091,4.222421539699571,5.232730230862016,7.045628725905074,7.684871395240581,7.363668945715987,7.662207993671497,0.0015301978203045925,0.0008565863093518846,0.0014212311221421276,0.0008830694570040383,0.039117743036946706,0.029267495782042654,0.0376992191184662,0.029716484600370185,0.9977389166736443,0.9914655183783362,0.993198393103704,0.9914256701931419
"N37,N,M,15_1_0.jpg",NormalFinal,25.03330532212885,80.69382591377038,59.672880901287556,80.11576201295969,0.503510373878208,0.3705788920212244,0.4997616913047054,0.37186411280903764,2.6994565826330534,4.9175741255014165,3.772688662374821,4.922303570927656,6.934233325381787,7.480408022234041,7.149928788658667,7.48260980032067,0.0019395773211245285,0.0012560765876791268,0.0019278114202970415,0.0012705674737761845,0.044040632614944675,0.03544117080006143,0.04390684935516373,0.03564502032228604,0.9976944301240552,0.9925638863738333,0.9945079245939525,0.9926171595470339
"N38,N,F,11_1_0.jpg",NormalFinal,32.22174229691877,83.10265084574603,57.72609307939915,86.1461583775141,0.4920622950835318,0.3718567318347107,0.4877096524533716,0.37301318248442505,2.970649859943978,5.033813010182614,3.866841022889843,5.08251002833179,7.29322195196529,7.791460754801121,7.462945284713178,7.794672364299326,0.002226998061969886,0.0017461270983210881,0.0022874156060901842,0.0017642797034269004,0.0471910803221317,0.041786685658485624,0.04782693389806819,0.042003329670716585,0.9970382358420773,0.9923559384991654,0.9946937021647559,0.9920759522342002
"N38,N,F,33_1_0.jpg",NormalFinal,39.25398319327731,82.54906448988751,47.549440048283266,77.69435888804735,0.4934299032730575,0.3765324126559214,0.5082119058001471,0.37383052250301474,3.227014005602241,5.0183287048725065,3.4783898873390555,4.907902044938147,7.022033505320256,7.448154244098448,7.059014455928028,7.435290279984991,0.0027321915275914286,0.00207365293271655,0.0027876989808977575,0.0020810112135228646,0.052270369499281606,0.04553737951086503,0.052798664574946946,0.04561810181849815,0.9963851954284615,0.9923904737885387,0.9956161103260105,0.9928380089394361
"N39,N,M,5_1_2.jpg",NormalFinal,34.27259943977591,89.49932957446211,60.62403880543633,80.81330752615781,0.5482778815466535,0.4221662919554482,0.534566353640332,0.41581941587290616,2.5794453781512603,4.442480855002945,3.3760170779685255,4.436792055878145,6.666859710467651,7.141836303714161,6.84286099151083,7.152375598368551,0.005527778939026591,0.004691627670736253,0.005336444564949529,0.004721962929474384,0.0743490345534264,0.06849545730000095,0.07305097237511304,0.06871654043586875,0.9967964033034856,0.9916272770031193,0.9943306010688064,0.9924398512493248
"N4,N,18,M_1_0.jpg",NormalFinal,38.45540616246499,89.94071081937781,64.69658105329042,97.76031305225953,0.5352616695896133,0.40425897002218125,0.5252190834732131,0.39904764250185254,3.0054453781512604,4.9928581446884905,3.7842509388412022,5.137574686526971,6.647803135699209,7.106974965016252,6.79111379773747,7.138410542164502,0.0026687042032499278,0.0017618682645443714,0.0025488137113137735,0.0017316700950263336,0.051659502545513616,0.041974614525262424,0.05048577731711946,0.04161334034929585,0.9964449889811654,0.9916662393283384,0.9940141156090575,0.9909417122658404
"N4,N,M,6_1_0.jpg",NormalFinal,76.08829691876753,188.13536424584137,133.59653299356222,193.31745069987937,0.48594387641452397,0.3738409434828632,0.5070991767796297,0.36534816443906437,3.5801176470588234,5.61384611069034,4.028679363376252,5.760728211170019,7.0120962893389835,7.421838611884766,7.0396335478643,7.453072883771902,0.0024968859073040985,0.0018886570340503604,0.002615188933132516,0.0018774277414402036,0.049968849369423134,0.043458681918005296,0.05113891798945805,0.0433292942642758,0.9929636171365432,0.9825827229628299,0.9876276003973005,0.9821029778948526
"N40,N,F,25_1_0.jpg",NormalFinal,32.8158431372549,61.98513282280007,32.8554240432761,57.70821621924879,0.5191143474547611,0.4121130902422011,0.527065520144776,0.4111417327140397,2.9256134453781515,4.25632135543774,2.93018486230329,4.182215489915566,6.790182900956609,7.142371955567696,6.787308065285531,7.12766390809435,0.00465524962926347,0.0040159729447350155,0.004698133592862979,0.004040664773310466,0.06822938977642604,0.06337170460651201,0.06854293247930802,0.06356622352563086,0.996941886099169,0.9942185635630256,0.9969370482620846,0.9946174656107158
"N41,N,F,22_1_0.jpg",NormalFinal,32.83195518207283,71.9011697382816,43.155093213519315,69.92675811383208,0.49854464874154525,0.38226161138058834,0.5189133317893149,0.3918022272853112,3.008582633053222,4.7183820023002045,3.3186639395565094,4.599809251311397,7.068349803862656,7.495618478306981,7.1043905176592475,7.463405432359641,0.0017747542467967585,0.0011669929247680665,0.0018877578368060833,0.001196932905129308,0.042127832210983256,0.034161278148922745,0.043448335259317857,0.03459671812656958,0.9969938943723269,0.9934090627346277,0.9960465264981118,0.993590036828365
